hotel_code,hotel_name,address_line_1,address_line_2,description,amenities_json,pet_policy_description,pet_fees_json,weight_limits_json,phone,hotel_url,last_updated
jaxst,Hyatt Studios Jacksonville / St Johns Town Center,11565 Village Crossing Drive,"Jacksonville, Florida, United States, 32256","Discover Southern hospitality at Hyatt Studios Jacksonville / St Johns Town Center, offering inviting studio apartment-style suites in Deerwood. Enjoy comforts like a fully equipped kitchen, free breakfast, free parking and a patio outfitted with a firepit and grilling station to help you settle into a longer stay. Prime shopping and attractions—including Topgolf Jacksonville, EverBank Stadium, University of North Florida, museums and beautiful beaches—are within a short drive of our central location.","['Digital Check-In', 'Digital Key', 'Electric Vehicle Charging', 'Fitness Center', 'Free Breakfast', 'Free Internet Access', 'Free Parking', 'Laundry', 'Meeting Facilities', 'Self-Parking', 'Pet Friendly']","Furry Friends Welcome
Pets are welcome at the hotel, so bring your furry friend along on your next trip. Fees are nonrefundable. Pets must not be left unattended in your room. Maximum pets per room is two. Fees do not apply to service animals.
Pet Fees
1–6 nights: $75 / 1 STAY
7–30 nights: $125 / 1 STAY
Weight Limits
Combined pets weight limit: 75 Pounds
Maximum number of pets is 2.",['Pet Fees\n1–6 nights: $75 / 1 STAY\n7–30 nights: $125 / 1 STAY'],['Combined pets weight limit: 75 Pounds'],,https://www.hyatt.com/hyatt-studios/en-US/jaxst-hyatt-studios-jacksonville-st-johns-town-center,2025-12-27T20:43:12.882786
hnlxh,Hyatt House at Ho'opili,91-3456 Nana Hope Street,"Ewa Beach, Hawaii, United States, 96706",,"['Business Services', 'In-Room Chromecast', 'Concierge', 'Digital Check-In', 'Digital Key', 'Electric Vehicle Charging', 'Fitness Center', 'Free Breakfast', 'Free Internet Access', 'Laundry', 'Meeting Facilities', 'Self-Parking', 'Electric Vehicle Charging', 'Pet Friendly', 'Pool', 'Restaurant On-Site']","Pets Are Welcome
Bring your four-legged companions along to Hyatt House at Ho‘opili for a relaxing stay in West O‘ahu. Pets must remain leashed in public areas and always attended to in guest rooms.
Pet Fees
1–6 nights: $250 / 1 STAY
7 or more nights: $350 / 1 STAY
Weight Limits
Individual pet weight limit:  50 Pounds
Combined pets weight limit: 75 Pounds
Maximum number of pets is 2.",['Pet Fees\n1–6 nights: $250 / 1 STAY\n7 or more nights: $350 / 1 STAY'],"['Individual pet weight limit:  50 Pounds', 'Combined pets weight limit: 75 Pounds']",+18089927592,https://www.hyatt.com/hyatt-house/en-US/hnlxh-hyatt-house-at-hoopili,2025-12-27T20:43:26.195207
hnlzh,Hyatt Place at Ho'opili,91-3456 Nana Hope Street,"Ewa Beach, Hawaii, United States, 96706",,"['Business Services', 'In-Room Chromecast', 'Concierge', 'Digital Check-In', 'Digital Key', 'Electric Vehicle Charging', 'Fitness Center', 'Free Breakfast', 'Free Internet Access', 'Laundry', 'Meeting Facilities', 'Self-Parking', 'Electric Vehicle Charging', 'Pet Friendly', 'Pool', 'Restaurant On-Site']","Pets Are Welcome
Bring your furry friends to Hyatt Place at Ho‘opili and enjoy a comfortable stay together in West O‘ahu. Pets must be on a leash in public areas and should not be left unattended in hotel rooms.
Pet Fees
1-6 nights: $250 / 1 STAY
7 or more nights: $350 / 1 STAY
Weight Limits
Individual pet weight limit:  50 Pounds
Combined pets weight limit: 75 Pounds
Maximum number of pets is 2.",['Pet Fees\n1-6 nights: $250 / 1 STAY\n7 or more nights: $350 / 1 STAY'],"['Individual pet weight limit:  50 Pounds', 'Combined pets weight limit: 75 Pounds']",+18089927595,https://www.hyatt.com/hyatt-place/en-US/hnlzh-hyatt-place-at-hoopili,2025-12-27T20:43:45.207271
auskr,Hotel Magdalena,1101 Music Ln,"Austin, Texas, United States, 78704",,"['In-Room Chromecast', 'Concierge', 'Free Internet Access', 'Meeting Facilities', 'Valet Parking', 'Pet Friendly', 'Pool', 'Restaurant On-Site', 'Room Service']","WE ARE PET-FRIENDLY
Hotel Magdalena gladly welcomes your traveling canine companions. Pack your pup and we’ll supply a bed, bowl, and maybe a treat or two for your best friend, for a small fee. We even offer an extensive in-room menu for your furry friends.
PET FEES
Per pet: $25 / NIGHT",['PET FEES\nPer pet: $25 / NIGHT'],,,https://www.hyatt.com/bunkhouse-hotels/en-US/auskr-hotel-magdalena,2025-12-27T20:43:57.089451
umt10,Hyatt Studios Kalispell,1900 Jefferson Blvd,"Kalispell, Montana, United States, 59901","Explore Montana’s natural wonders from Hyatt Studios Kalispell, your gateway to Glacier National Park and beyond. Our apartment-style suites feature full kitchens and living spaces that feel like home, perfect for short- or long-term stays. Enjoy Free Grab ‘n’ Go Breakfast, complimentary Wi-Fi and parking, and our 24-hour Fitness Studio — plus an outdoor patio with grills and a firepit. A short distance from the hotel, you’ll find restaurants, shopping centers and top-notch golf courses. Plus, visit nearby attractions like Lone Pine State Park or the Northwest Montana History Museum. Make Hyatt Studios Kalispell home base for your Montana adventure.","['Business Services', 'In-Room Chromecast', 'Digital Check-In', 'Digital Key', 'Electric Vehicle Charging', 'Fitness Center', 'Free Breakfast', 'Free Internet Access', 'Free Parking', 'Laundry', 'Self-Parking', 'Pet Friendly']","Furry Friends Welcome
Dogs are welcome at Hyatt Studios Kalispell. Enjoy a comfortable stay with your pet by your side.
Pet Fees
Per dog: $10 / 1 NIGHT
Nonrefundable deposit: $50 / 1 STAY
Weight Limits
Individual pet weight limit:  75 Pounds
Maximum number of pets is 2.",['Pet Fees\nPer dog: $10 / 1 NIGHT\nNonrefundable deposit: $50 / 1 STAY'],['Individual pet weight limit:  75 Pounds'],+14066093280,https://www.hyatt.com/hyatt-studios/en-US/umt10-hyatt-studios-kalispell,2025-12-27T20:44:16.217209
phxjs,Hotel Solaya,4000 N. Drinkwater,"Scottsdale, Arizona, United States, 85251",,"['Fitness Center', 'Free Internet Access', 'Meeting Facilities', 'Self-Parking', 'Pet Friendly', 'Pool', 'Restaurant On-Site']","Your Furry Friend Is Welcome, Too
Your dog is welcome to stay with you when you visit us at Hotel Solaya. Dogs must be kept on leash when in the hotel’s public spaces. Additional cleaning fees may apply if necessary.
PET FEES
Price: $75 / STAY",['PET FEES\nPrice: $75 / STAY'],,+16233527272,https://www.hyatt.com/jdv-by-hyatt/en-US/phxjs-hotel-solaya,2025-12-27T20:44:24.075074
unj10,Latitude Suites Tinton Falls,3 Centre Plaza,"Tinton Falls, New Jersey, United States, 07724",,"['In-Room Chromecast', 'Fitness Center', 'Free Internet Access', 'Free Parking', 'Laundry', 'Meeting Facilities', 'Self-Parking', 'Pet Friendly', 'Pool', 'Restaurant On-Site']","Pet Policy
Bring your dogs along when you stay at Latitude Suites Tinton Falls.
PET FEES
Plus tax: $100 / STAY
WEIGHT LIMITS
Combined pets weight limit: 80 Pounds
Maximum number of pets is 2.",['PET FEES\nPlus tax: $100 / STAY'],['Combined pets weight limit: 80 Pounds'],+17323894800,https://www.hyatt.com/unscripted-by-hyatt/en-US/unj10-latitude-suites-tinton-falls,2025-12-27T20:44:32.856151
vn100,Wink Saigon Centre,"75 Nguyen Binh Khiem, Tan Dinh Ward","Ho Chi Minh City, Vietnam, 700000",,"['Business Services', 'In-Room Chromecast', 'Concierge', 'Digital Check-In', 'Digital Key', 'Electric Vehicle Charging', 'Fitness Center', 'Free Breakfast', 'Free Internet Access', 'Free Parking', 'Laundry', 'Meeting Facilities', 'Self-Parking', 'Pet Friendly', 'Restaurant On-Site', 'Room Service']","We Welcome Your Pet
Pet owners are our kind of people. Dogs under 7 kg can stay with you in the same room.
PET FEES
Per Pet Per Night: ₫500,000
WEIGHT LIMITS
Combined pets weight limit: 14 kilograms
Maximum number of pets is 2.","['PET FEES\nPer Pet Per Night: ₫500,000']",['Combined pets weight limit: 14 kilograms'],+842838269999,https://www.hyatt.com/unscripted-by-hyatt/en-US/vn100-wink-saigon-centre,2025-12-27T20:44:51.618389
vn101,Wink Danang Centre,"178 Tran Phu, Hai Chau Ward","Danang, Vietnam, 550000",,"['Business Services', 'In-Room Chromecast', 'Concierge', 'Digital Check-In', 'Digital Key', 'Fitness Center', 'Free Breakfast', 'Free Internet Access', 'Free Parking', 'Laundry', 'Self-Parking', 'Pet Friendly', 'Restaurant On-Site', 'Room Service']","We Welcome Your Pet
Pet owners are our kind of people. Dogs under 7 kg can stay with you in the same room.
PET FEES
Per Pet Per Night: ₫500,000
WEIGHT LIMITS
Combined pets weight limit: 14 kilograms
Maximum number of pets is 2.","['PET FEES\nPer Pet Per Night: ₫500,000']",['Combined pets weight limit: 14 kilograms'],+842363831999,https://www.hyatt.com/unscripted-by-hyatt/en-US/vn101-wink-danang-centre,2025-12-27T20:45:10.662513
vn102,Wink Danang Riverside,"351 Tran Hung Dao Street, An Hai Ward","Danang, Vietnam, 550000",,"['In-Room Chromecast', 'Concierge', 'Digital Check-In', 'Digital Key', 'Fitness Center', 'Free Breakfast', 'Free Internet Access', 'Free Parking', 'Laundry', 'Meeting Facilities', 'Valet Parking', 'Self-Parking', 'Pet Friendly', 'Pool', 'Restaurant On-Site', 'Room Service', 'Spa']","We Welcome Your Pet
Pet owners are our kind of people. Dogs under 7 kg can stay with you in the same room.
PET FEES
Per Pet Per Night: ₫500,000
WEIGHT LIMITS
Individual pet weight limit:  7 kilograms
Combined pets weight limit: 14 kilograms
Maximum number of pets is 2.","['PET FEES\nPer Pet Per Night: ₫500,000']","['Individual pet weight limit:  7 kilograms', 'Combined pets weight limit: 14 kilograms']",+842573869999,https://www.hyatt.com/unscripted-by-hyatt/en-US/vn102-wink-danang-riverside,2025-12-27T20:45:23.393882
vn103,Wink Tuy Hoa Beach,"1 Dien Bien Phu, Tuy Hoa Ward","Dak Lak, Vietnam, 630000",,"['Business Services', 'In-Room Chromecast', 'Concierge', 'Digital Check-In', 'Digital Key', 'Fitness Center', 'Free Breakfast', 'Free Internet Access', 'Free Parking', 'Laundry', 'Meeting Facilities', 'Self-Parking', 'Pet Friendly', 'Pool', 'Restaurant On-Site', 'Room Service']","We Welcome Your Pet
Pet owners are our kind of people. Dogs under 7 kg can stay with you in the same room.
PET FEES
Per Pet Per Night: ₫500,000
WEIGHT LIMITS
Combined pets weight limit: 14 kilograms
Maximum number of pets is 2.","['PET FEES\nPer Pet Per Night: ₫500,000']",['Combined pets weight limit: 14 kilograms'],+842573869999,https://www.hyatt.com/unscripted-by-hyatt/en-US/vn103-wink-tuy-hoa-beach,2025-12-27T20:45:32.986682
vn104,Wink Can Tho Centre,"14 Phan Dinh Phung, Ninh Kieu Ward","Can Tho, Vietnam, 900000",,"['Business Services', 'In-Room Chromecast', 'Concierge', 'Digital Check-In', 'Digital Key', 'Electric Vehicle Charging', 'Fitness Center', 'Free Breakfast', 'Free Internet Access', 'Free Parking', 'Laundry', 'Meeting Facilities', 'Self-Parking', 'Pet Friendly', 'Pool', 'Restaurant On-Site', 'Room Service']","We Welcome Your Pet
Pet owners are our kind of people. Dogs under 7 kg can stay with you in the same room.
PET FEES
Per Pet Per Night: ₫500,000
WEIGHT LIMITS
Combined pets weight limit: 14 kilograms
Maximum number of pets is 2.","['PET FEES\nPer Pet Per Night: ₫500,000']",['Combined pets weight limit: 14 kilograms'],+842923655111,https://www.hyatt.com/unscripted-by-hyatt/en-US/vn104-wink-can-tho-centre,2025-12-27T20:45:43.489034
vn105,Wink Hai Phong Centre,"35 Dien Bien Phu, Hong Bang Ward","Hai Phong, Vietnam, 180000",,"['Business Services', 'In-Room Chromecast', 'Concierge', 'Digital Check-In', 'Digital Key', 'Fitness Center', 'Free Breakfast', 'Free Internet Access', 'Free Parking', 'Laundry', 'Meeting Facilities', 'Self-Parking', 'Pet Friendly', 'Pool', 'Restaurant On-Site', 'Room Service']","We Welcome Your Pet
Pet owners are our kind of people. Dogs under 7 kg can stay with you in the same room.
PET FEES
Per Pet Per Night: ₫500,000
WEIGHT LIMITS
Combined pets weight limit: 14 kilograms
Maximum number of pets is 2.","['PET FEES\nPer Pet Per Night: ₫500,000']",['Combined pets weight limit: 14 kilograms'],+842253669966,https://www.hyatt.com/unscripted-by-hyatt/en-US/vn105-wink-hai-phong-centre,2025-12-27T20:45:54.151405
ecpxs,Hyatt House Destin,4406 Legendary Drive,"Destin, Florida, United States, 32541",,"['Digital Check-In', 'Digital Key', 'Fitness Center', 'Free Breakfast', 'Free Internet Access', 'Free Parking', 'Laundry', 'Meeting Facilities', 'Self-Parking', 'Pet Friendly', 'Pool', 'Restaurant On-Site']","We Are Pet Friendly
Your pet is welcome to stay with you at Hyatt House Destin.
Pet Fees
1–6 nights: $50 / 1 STAY
7+ nights: $75 / 1 STAY + $25 Additional fee
Weight Limits
Individual pet weight limit:  75 Pounds
Maximum number of pets is 2.",['Pet Fees\n1–6 nights: $50 / 1 STAY\n7+ nights: $75 / 1 STAY + $25 Additional fee'],['Individual pet weight limit:  75 Pounds'],,https://www.hyatt.com/hyatt-house/en-US/ecpxs-hyatt-house-destin,2025-12-27T20:46:07.660855
choqh,Hyatt Studios Harrisonburg,2099 Stone Vista Ln,"Harrisonburg, Virginia, United States, 22801","Hyatt Studios Harrisonburg offers comfort and convenience in the capital of the Shenandoah Valley, home to James Madison University. Unwind in sleek studio apartment-style rooms featuring well-equipped kitchens, exercise at the 24-hour Fitness Center or gather with friends around the firepit on the patio. You’ll enjoy thoughtful amenities, including Free Grab ’n’ Go Breakfast, complimentary high-speed Wi-Fi and a self-service Guest Laundry.","['Digital Check-In', 'Digital Key', 'Electric Vehicle Charging', 'Fitness Center', 'Free Breakfast', 'Free Internet Access', 'Free Parking', 'Laundry', 'Self-Parking', 'Pet Friendly']","Furry Friends Welcome
Your pet is welcome to stay with you at Hyatt Studios Harrisonburg. Pets are not to be left unattended in guest rooms. Fees are nonrefundable. Service animals are exempt from this policy.
Pet Fees
1–6 nights (plus taxes): $75 / 1 STAY
7+ nights (plus taxes): $125 / 1 STAY
Weight Limits
Individual pet weight limit:  75 Pounds
Maximum number of pets is 2.",['Pet Fees\n1–6 nights (plus taxes): $75 / 1 STAY\n7+ nights (plus taxes): $125 / 1 STAY'],['Individual pet weight limit:  75 Pounds'],,https://www.hyatt.com/hyatt-studios/en-US/choqh-hyatt-studios-harrisonburg,2025-12-27T20:46:15.661371
chacp,Caption by Hyatt Chattanooga Downtown,105 W. Main Street,"Chattanooga, Tennessee, United States, 37402",,,,,,,https://www.hyatt.com/caption-by-hyatt/en-US/chacp-caption-by-hyatt-chattanooga-downtown,2025-12-27T20:46:34.606522
ontro,Ontario Airport Hotel and Conference Center,700 N Haven Ave,"Ontario, California, United States, 91764",,"['Business Services', 'Electric Vehicle Charging', 'Fitness Center', 'Free Internet Access', 'Meeting Facilities', 'Self-Parking', 'Pet Friendly', 'Pool', 'Restaurant On-Site']","Pets Are Welcome
Canine and feline friends are welcome to stay in your room when you book with us at Ontario Airport Hotel and Convention Center. For stays longer than 30 days, the hotel will review the fee.
PET FEES
1–6 days: $100 / PET
7-plus nights: $100 / PET+ $100 Additional fee
WEIGHT LIMITS
Individual pet weight limit:  50 Pounds
Maximum number of pets is 2.",['PET FEES\n1–6 days: $100 / PET\n7-plus nights: $100 / PET+ $100 Additional fee'],['Individual pet weight limit:  50 Pounds'],+19099800400,https://www.hyatt.com/stay/en-US/ontro-ontario-airport-hotel-and-conference-center,2025-12-27T20:46:47.356008
sharl,Hyatt Regency Shanghai Lingang,"No. 1-3, Lane 18, Ziduan Road, Lingang New Town, Pilot Free Trade Zone","Shanghai, China, 201306",,"['Concierge', 'Electric Vehicle Charging', 'Fitness Center', 'Free Internet Access', 'Free Parking', 'Laundry', 'Meeting Facilities', 'Self-Parking', 'Pet Friendly', 'Pool', 'Restaurant On-Site', 'Room Service']","We Are Pet Friendly
Pets are welcome at Hyatt Regency Shanghai Lingang. Please inquire in advance about this package, and a deposit will be taken upon check-in. Please note that your dog ownership certificate and a vaccine certificate valid for one year are required upon check-in. Please read our Policies page for details.
Pet Fees
Per Pet: CN¥500
Weight Limits
Individual pet weight limit:  35 kilograms
Maximum number of pets is 2.",['Pet Fees\nPer Pet: CN¥500'],['Individual pet weight limit:  35 kilograms'],+862120228888,https://www.hyatt.com/hyatt-regency/en-US/sharl-hyatt-regency-shanghai-lingang,2025-12-27T20:47:03.521928
suzjd,KYLN Hotel Suzhou,"1090 Cai Lian Road, Xiangcheng District","Suzhou, China, 215133",,"['Business Services', 'In-Room Chromecast', 'Concierge', 'Digital Check-In', 'Digital Key', 'Electric Vehicle Charging', 'Fitness Center', 'Free Internet Access', 'Free Parking', 'Laundry', 'Meeting Facilities', 'Self-Parking', 'Pet Friendly', 'Restaurant On-Site', 'Room Service']","Your Furry Friend Is Welcome, Too
At KYLN Hotel Suzhou, pet-friendly getaways are made better. Bring your beloved dogs and experience a memorable stay immersed in refined comfort and relaxation. Note: A health certification is required. Please read our Policies page for details.
PET FEES
When staying in a pet-friendly room: Free
When staying in a non-pet-friendly room: CN¥350
WEIGHT LIMITS
Individual pet weight limit:  20 kilograms
Combined pets weight limit: 40 kilograms
Maximum number of pets is 2.",['PET FEES\nWhen staying in a pet-friendly room: Free\nWhen staying in a non-pet-friendly room: CN¥350'],"['Individual pet weight limit:  20 kilograms', 'Combined pets weight limit: 40 kilograms']",+8651266101234,https://www.hyatt.com/jdv-by-hyatt/en-US/suzjd-kyln-hotel-suzhou,2025-12-27T20:47:13.531574
yqtxt,Hyatt House Thunder Bay,1165 Oliver Road,"Thunder Bay, Ontario, Canada, P7B 7A4",,"['Business Services', 'In-Room Chromecast', 'Electric Vehicle Charging', 'Fitness Center', 'Free Breakfast', 'Free Internet Access', 'Free Parking', 'Laundry', 'Meeting Facilities', 'Self-Parking', 'Pet Friendly', 'Pool', 'Restaurant On-Site']","We Are Pet Friendly
Bring your furry friends along to enjoy your stay with us. We welcome up to two pets per room, with a $100 fee per stay that covers treats and additional cleaning. Your pet will feel right at home while you explore all that Thunder Bay has to offer.
Pet Fees
Price: $100 / 1 STAY",['Pet Fees\nPrice: $100 / 1 STAY'],,+18076955080,https://www.hyatt.com/hyatt-house/en-US/yqtxt-hyatt-house-thunder-bay,2025-12-27T20:47:22.043587
gegzp,Hyatt Place Post Falls / Coeur d’Alene,1213 E 4th Ave,"Post Falls, Idaho, United States, 83854",,"['Business Services', 'In-Room Chromecast', 'Digital Check-In', 'Digital Key', 'Fitness Center', 'Free Internet Access', 'Free Parking', 'Meeting Facilities', 'Self-Parking', 'Pet Friendly', 'Pool', 'Restaurant On-Site']","Pets Are Welcome
Enjoy Idaho with your pet. Your four-legged friend is welcome to stay with you at our pet-friendly hotel in Post Falls. Fees are nonrefundable. Service animals are exempt from this policy.
Pet Fees
1–6 nights: $100 / 1 STAY
7+ nights: $100 / 1 STAY + $100 Deep cleaning fee
Weight Limits
Individual pet weight limit:  50 Pounds
Combined pets weight limit: 75 Pounds
Maximum number of pets is 2.",['Pet Fees\n1–6 nights: $100 / 1 STAY\n7+ nights: $100 / 1 STAY + $100 Deep cleaning fee'],"['Individual pet weight limit:  50 Pounds', 'Combined pets weight limit: 75 Pounds']",+12089815810,https://www.hyatt.com/hyatt-place/en-US/gegzp-hyatt-place-post-falls-coeur-dalene,2025-12-27T20:47:38.577885
albxy,Hyatt House Schenectady / Mohawk Harbor,121 Harborside Dr,"Schenectady, New York, United States, 12305",,"['Digital Check-In', 'Digital Key', 'Electric Vehicle Charging', 'Fitness Center', 'Free Breakfast', 'Free Internet Access', 'Free Parking', 'Laundry', 'Meeting Facilities', 'Self-Parking', 'Pet Friendly', 'Pool', 'Restaurant On-Site']","We Are Pet Friendly
Bring your furry friend along for the stay. We offer accommodations designed to make both you and your pet comfortable. For stays more than 30 days, an additional deep cleaning fee will be applied.
Pet Fees
1 to 6 nights: $100 / 1 STAY
7 plus nights: $200 / 1 STAY
More than 30 days: $200
Weight Limits
Individual pet weight limit:  50 Pounds",['Pet Fees\n1 to 6 nights: $100 / 1 STAY\n7 plus nights: $200 / 1 STAY\nMore than 30 days: $200'],['Individual pet weight limit:  50 Pounds'],+15187047281,https://www.hyatt.com/hyatt-house/en-US/albxy-hyatt-house-schenectady-mohawk-harbor,2025-12-27T20:47:51.721048
sjuct,Hyatt Centric San Juan Isla Verde,8020 Tartak Street,"Isla Verde, Puerto Rico, 00979",,,,,,+17872539000,https://www.hyatt.com/hyatt-centric/en-US/sjuct-hyatt-centric-san-juan-isla-verde,2025-12-27T20:48:00.521865
houkh,Hotel Daphne,347 W 20TH ST,"Houston, Texas, United States, 77008",,"['In-Room Chromecast', 'Electric Vehicle Charging', 'Free Internet Access', 'Laundry', 'Valet Parking', 'Pet Friendly', 'Restaurant On-Site', 'Room Service']","WE ARE PET-FRIENDLY
Pack your pup. Well-behaved dogs are always welcome. Unfortunately, non-dog pets cannot be accommodated.
PET FEES
Price: $50 / STAY",['PET FEES\nPrice: $50 / STAY'],,+13466011099,https://www.hyatt.com/bunkhouse-hotels/en-US/houkh-hotel-daphne,2025-12-27T20:48:09.959521
noecu,Secrets Mirabel Cancun Resort & Spa,Blvd. Kukulcan Km 19.5,"Cancun, Mexico, 77500",,"['Fitness Center', 'Free Internet Access', 'Laundry', 'Meeting Facilities', 'Pet Friendly', 'Pool', 'Resort Property', 'Restaurant On-Site', 'Room Service', 'Spa']",,,,+529988915000,https://www.hyatt.com/secrets/en-US/noecu-secrets-mirabel-cancun-resort-and-spa,2025-12-27T20:48:19.890850
midzm,Hyatt Place Merida / Via Montejo,Calle 60 Avenida Prolongación Paseo De Montejo Núm. Ext. 1x3. Núm.Int. Departamento Único II,"Mérida, Yucatán, Mexico, 97204",,"['In-Room Chromecast', 'Digital Check-In', 'Digital Key', 'Fitness Center', 'Free Breakfast', 'Free Internet Access', 'Free Parking', 'Laundry', 'Meeting Facilities', 'Self-Parking', 'Pet Friendly', 'Pool', 'Restaurant On-Site']","Pets Are Welcome
Invite your dog along on your visit to Merida. We’ll supply dog bowls and treats. Your pet must be crated, or you must be present, during housekeeping services.
Pet Fees
Price: $30 / 1 NIGHT
Weight Limits
Individual pet weight limit:  50 Pounds
Maximum number of pets is 2.",['Pet Fees\nPrice: $30 / 1 NIGHT'],['Individual pet weight limit:  50 Pounds'],+529992881234,https://www.hyatt.com/hyatt-place/en-US/midzm-hyatt-place-merida-via-montejo,2025-12-27T20:48:35.531499
