hotel_code,hotel_name,address,city,state,country,phone,rating,description,card_price,overview_table_json,pets_json,parking_json,amenities_json,nearby_json,airport_json,is_pet_friendly,last_updated
MAR-1-1,Fairfield by Marriott Inn & Suites Albertville,,,,,,4.6,"All-new Albertville, AL hotel with complimentary breakfast near Sand Mountain Park and Amphitheater",,{},{},{},[],[],[],false,2025-12-25T10:24:23.438626
MAR-1-3,"Elyton Hotel, Autograph Collection",,,,,,4.1,"Great location, excellent service, memorable stay.",,{},{},{},[],[],[],false,2025-12-25T10:24:50.902505
MAR-1-4,"Grand Bohemian Mountain Brook, Autograph Collection","1928 1st Avenue North Birmingham, Alabama, USA, 35203",Birmingham,Alabama,USA,+1 205-731-3600,4.5,"Luxury hotel with rooftop restaurant, art gallery, on-site spa, cooking classes, and wine blending.",,"{""CHECK IN"": ""CHECK IN: 04:00 PM"", ""CHECK OUT"": ""CHECK OUT: 11:00 AM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true}",{},{},[],[],"[{""airport"": ""Birmingham-Shuttlesworth International Airport (BHM)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Bus Station"", ""Max 42"", ""Birmingham Jefferson County Transit Authority"", ""Car Rentals"", ""Hertz"", ""Phone:"", ""+1 205-591-6090""]}]",false,2025-12-25T10:24:53.711659
MAR-1-6,Residence Inn by Marriott Birmingham Grandview,,,,,,,EXPERIENCE BIRMINGHAM'S NEWEST HOTEL LOCATED IN THE GRAND VIEW AREA OFF 280,,{},{},{},[],[],[],false,2025-12-25T10:25:21.251450
MAR-1-7,Sheraton Birmingham Hotel,"3580 Grandview Parkway Birmingham, Alabama, USA, 35243",Birmingham,Alabama,USA,+1 205-354-6286,3.1,"Our uptown Birmingham hotel offers direct access to the BJCC, Legacy Arena and downtown Birmingham",,"{""CHECK IN"": ""CHECK IN: 04:00 PM"", ""CHECK OUT"": ""CHECK OUT: 11:00 AM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true}",{},{},"[""Fitness center"", ""Pet friendly"", ""Parking"", ""Meeting event space"", ""Mobility accessible rooms"", ""Storage space"", ""Coffee/tea in-room"", ""Local restaurant dinner delivery"", ""Concierge desk"", ""Safe deposit boxes, front desk"", ""All public areas non-smoking"", ""Front desk staffed"", ""Housekeeping"", ""Car Rental, Nearby"", ""Housekeeping service daily""]",[],"[{""airport"": ""Birmingham-Shuttlesworth International Airport (BHM)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Bus Station"", ""BJCC"", ""Greyhound Bus"", ""Car Rentals"", ""Enterprise Rent-A-Car"", ""Phone:"", ""+1 205-591-1927"", ""Budget"", ""Phone:"", ""+1 205-322-3596""]}]",true,2025-12-25T10:25:25.319511
MAR-1-9,The Westin Birmingham,,,,,,3.5,"Our hotel in uptown Birmingham features spacious rooms and suites, a 24-hour gym and a rooftop pool.",,{},{},{},[],[],[],false,2025-12-25T10:25:52.666201
MAR-1-10,"Postcard Cabins Talladega Valley, Outdoor Collection by Marriott Bonvoy","2221 Richard Arrington Jr. Boulevard North Birmingham, Alabama, USA, 35203",Birmingham,Alabama,USA,+1 205-307-3600,5,"Tiny cabins along Coosa River—2.5 hrs from Atlanta, 1 hr from Birmingham. Glamping, reimagined.",,"{""CHECK IN"": ""CHECK IN: 04:00 PM"", ""CHECK OUT"": ""CHECK OUT: 11:00 AM"", ""This property does not have a smoke-free policy"": true, ""See Accessibility Features"": true}",{},{},[],[],"[{""airport"": ""Hartsfield-Jackson Atlanta International Airport (ATL)"", ""details"": []}]",false,2025-12-25T10:25:54.935972
MAR-2-1,Courtyard by Marriott Anniston Oxford,,,,,,3.9,Near Choccolocco Park and Talledega speedway with onsite bar and indoor pool.,,{},{},{},[],[],[],false,2025-12-25T10:25:59.950713
MAR-2-2,Fairfield by Marriott Inn & Suites Anniston Oxford,"289 Colonial Drive Oxford, Alabama, USA, 36203",Oxford,Alabama,USA,+1 256-831-7995,3.8,Complimentary Hot Breakfast & comfortable guest rooms near Choccolocco Park and Anniston Army Depot.,,"{""CHECK IN"": ""CHECK IN: 03:00 PM"", ""CHECK OUT"": ""CHECK OUT: 12:00 PM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true}",{},{},[],[],"[{""airport"": ""Hartsfield-Jackson Atlanta International Airport (ATL)"", ""details"": []}, {""airport"": ""Birmingham-Shuttlesworth International Airport (BHM)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Car Rentals"", ""Hertz"", ""Train Station"", ""Amtrak""]}]",false,2025-12-25T10:26:03.103098
MAR-2-4,TownePlace Suites by Marriott Pell City,,,,,,5,"Extended stays made easy—full kitchens, free breakfast, and Southern hospitality.",,{},{},{},[],[],[],false,2025-12-25T10:26:30.297114
